states,Transaction_Year,Transaction_Count,Transaction_Amount
Arunachal Pradesh,2022,171494,490549428.8
Arunachal Pradesh,2022,169954,393361044.5
Arunachal Pradesh,2022,117173,256004887.6
Arunachal Pradesh,2022,92331,315562272.6
Arunachal Pradesh,2022,86721,346661566.5
Arunachal Pradesh,2022,83531,235243185.5
Arunachal Pradesh,2022,73100,239825149.9
Arunachal Pradesh,2022,1444757,3269917297
Arunachal Pradesh,2022,327925,893486447.6
Arunachal Pradesh,2022,261162,604825118.2
Arunachal Pradesh,2022,226199,502322813.6
Arunachal Pradesh,2022,203732,513287861.1
Arunachal Pradesh,2022,152652,293920909.2
Arunachal Pradesh,2022,132824,494351396.8
Arunachal Pradesh,2022,121772,375530981.6
Arunachal Pradesh,2022,104498,271945446.4
Arunachal Pradesh,2022,94109,287993729.8
Arunachal Pradesh,2022,1651143,3211809407
Arunachal Pradesh,2022,371632,945171308.2
Arunachal Pradesh,2022,286766,594752976.4
Arunachal Pradesh,2022,236792,461745616.9
Arunachal Pradesh,2022,216609,492535245.1
Arunachal Pradesh,2022,151676,277199997
Arunachal Pradesh,2022,138313,514855579.7
Arunachal Pradesh,2022,136332,395192938
Arunachal Pradesh,2022,112848,273001216.7
Arunachal Pradesh,2022,109261,285712248.1
Arunachal Pradesh,2022,1917365,3401999229
Arunachal Pradesh,2022,421418,954522716.7
Arunachal Pradesh,2022,327737,623525449.5
Arunachal Pradesh,2022,276551,503661703.8
Arunachal Pradesh,2022,254818,572195646.8
Arunachal Pradesh,2022,188919,307955075.5
Arunachal Pradesh,2022,176377,449302139.5
Arunachal Pradesh,2022,155419,518332824.9
Arunachal Pradesh,2022,143172,339443886.2
Arunachal Pradesh,2022,137218,308329533.6
Assam,2018,194617,284766219
Assam,2018,79832,105067294.5
Assam,2018,67801,56352302.38
Assam,2018,66695,56352631.29
Assam,2018,56481,57250290.53
Assam,2018,51976,73005566.25
Assam,2018,47859,41868129.26
Assam,2018,44792,53258765.87
Assam,2018,41237,45886201.03
Assam,2018,33322,41164542.06
Assam,2018,320417,548619364.2
Assam,2018,109223,204057284.2
Assam,2018,105834,129818644.9
Assam,2018,102217,117541108.7
Assam,2018,83921,105147622.6
Assam,2018,82799,151230715.3
Assam,2018,74537,83338163.66
Assam,2018,70642,110954951.7
Assam,2018,66715,102921465.6
Assam,2018,53341,70634515.73
